"seq","stateDt","stateTime","decideCnt","clearCnt","examCnt","deathCnt","careCnt","resutlNegCnt","accExamCnt","accExamCompCnt","accDefRate","createDt","updateDt"
1,"20200101","18:00",,1,1,,,,,,,"2020-01-31 17:47:33.33","2020-02-03 12:21:56.56"
2,"20200202","09:00",2,2,2,2,,,,,,"2020-02-03 12:22:49.49",
3,"20200203","09:00",15,,,,,,,,,"2020-02-03 14:41:17.17","2020-02-04 14:19:46.46"
4,"20200204","00:00",,,,,,,,,,"2020-02-03 21:26:59.59",
5,"20200205","09:00",18,,129,,,,,,,"2020-02-04 23:56:31.31","2020-02-05 9:43:16.16"
6,"20200205","19:00",19,1,40,,,,,,,"2020-02-05 20:05:40.40","2020-02-06 10:05:36.36"
7,"20200206","09:00",23,1,169,,,,,,,"2020-02-06 9:09:49.49","2020-02-06 10:04:35.35"
8,"20200207","09:00",24,2,264,,,,,,,"2020-02-07 9:53:27.27","2020-02-07 11:44:30.30"
9,"20200207","16:00",24,2,327,,,,,,,"2020-02-07 17:20:45.45",
10,"20200208","09:00",24,2,620,,,,,,,"2020-02-08 10:09:34.34",
11,"20200208","16:00",24,2,939,,,,,,,"2020-02-08 16:00:22.22",
12,"20200208","16:00",24,2,939,,,,,,,"2020-02-08 16:48:05.05",
13,"20200208","16:00",24,2,939,,,,,,,"2020-02-08 17:01:12.12",
14,"20200208","16:00",24,2,939,,,,,,,"2020-02-08 17:01:34.34",
15,"20200209","09:00",25,3,960,,,,,,,"2020-02-09 9:58:22.22","2020-02-09 11:08:56.56"
16,"20200209","16:00",27,3,888,,,,,,,"2020-02-09 16:59:21.21",
17,"20200210","09:00",27,3,809,,,,,,,"2020-02-10 9:56:41.41",
18,"20200210","16:00",27,3,531,,,,,,,"2020-02-10 17:03:49.49","2020-02-10 19:04:27.27"
19,"20200211","09:00",28,4,865,,,,,,,"2020-02-11 9:50:10.10",
20,"20200211","16:00",28,4,762,,,,,,,"2020-02-11 17:09:25.25",
21,"20200212","09:00",28,4,992,,,,,,,"2020-02-12 10:05:49.49",
22,"20200212","16:00",28,7,785,,,,,,,"2020-02-12 16:56:47.47",
23,"20200213","09:00",28,7,670,,,,,,,"2020-02-13 9:50:45.45",
24,"20200213","16:00",28,7,562,,,,,,,"2020-02-13 17:09:07.07",
25,"20200214","09:00",28,7,692,,,,,,,"2020-02-14 9:50:49.49",
26,"20200214","16:00",28,7,535,,,,,,,"2020-02-14 17:16:19.19",
27,"20200215","09:00",28,7,638,,,,,,,"2020-02-15 10:00:11.11",
28,"20200215","16:00",28,9,558,,,,,,,"2020-02-15 17:00:21.21",
29,"20200216","09:00",29,9,577,,,,,,,"2020-02-16 10:04:04.04",
30,"20200216","16:00",29,9,485,,,,,,,"2020-02-16 16:57:02.02",
31,"20200217","09:00",30,9,408,,,,,,,"2020-02-17 9:53:13.13",
32,"20200217","16:00",30,10,708,,,,,,,"2020-02-17 16:50:47.47",
33,"20200218","09:00",31,10,957,,,,,,,"2020-02-18 10:04:38.38",
34,"20200218","09:00",31,10,957,,,,,,,"2020-02-18 10:05:31.31",
35,"20200218","16:00",31,12,818,,,,,,,"2020-02-18 16:42:00.00",
36,"20200219","09:00",46,12,1030,,,,,,,"2020-02-19 9:53:08.08",
37,"20200219","16:00",51,16,1149,,,,,,,"2020-02-19 17:00:13.13",
38,"20200220","09:00",82,16,1633,,,,,,,"2020-02-20 10:01:31.31",
39,"20200220","16:00",104,16,1860,1,,,,,,"2020-02-20 17:12:33.33",
40,"20200221","09:00",156,16,2707,1,,,,,,"2020-02-21 9:58:51.51",
41,"20200221","16:00",204,17,3180,1,,,,,,"2020-02-21 17:12:33.33",
42,"20200221","16:00",204,17,3180,1,,,,,,"2020-02-21 17:13:21.21",
43,"20200222","09:00",346,17,5481,2,,,,,,"2020-02-22 9:59:46.46",
44,"20200222","16:00",433,18,6037,2,,,,,,"2020-02-22 17:00:28.28",
45,"20200223","09:00",556,18,6039,4,,,,,,"2020-02-23 10:22:25.25",
46,"20200223","16:00",602,18,8057,5,,,,,,"2020-02-23 17:05:12.12",
47,"20200224","09:00",763,18,8725,7,,,,,,"2020-02-24 10:17:36.36",
48,"20200224","16:00",833,22,11631,7,,,,,,"2020-02-24 17:03:50.50",
49,"20200225","09:00",893,22,13273,8,,,,,,"2020-02-25 10:00:40.40",
50,"20200225","16:00",977,22,13880,10,,,,,,"2020-02-25 17:02:03.03",
51,"20200226","09:00",1146,22,16734,11,,,,,,"2020-02-26 10:02:05.05",
52,"20200226","16:00",1261,24,20716,12,,,,,,"2020-02-26 17:00:43.43",
53,"20200227","09:00",1595,24,21097,12,,,,,,"2020-02-27 10:19:35.35",
54,"20200227","16:00",1766,26,25568,13,,,,,,"2020-02-27 17:32:06.06",
55,"20200228","09:00",2022,26,24751,13,,,,,,"2020-02-28 10:32:34.34","2020-02-28 13:34:23.23"
56,"20200228","16:00",2337,27,30237,13,,,,,,"2020-02-28 17:01:59.59",
57,"20200229","09:00",2931,27,29154,16,,,,,,"2020-02-29 10:14:50.50",
58,"20200229","16:00",3150,28,35182,17,,,,,,"2020-02-29 17:16:20.20","2020-02-29 18:02:17.17"
59,"20200301","09:00",3526,30,32422,17,,,,,,"2020-03-01 10:06:32.32",
60,"20200301","16:00",3736,30,33360,18,,,,,,"2020-03-01 17:41:45.45",
61,"20200302","00:00",4212,31,33799,22,4159,71580,109591,75792,"5.5573147561","2020-03-02 10:52:38.38","2020-03-09 14:08:51.51"
62,"20200303","00:00",4812,34,35555,28,4750,85484,125851,90296,"5.3291397182","2020-03-03 10:46:53.53","2020-03-09 14:08:12.12"
63,"20200304","00:00",5328,41,28414,32,5255,102965,136707,108293,"4.9199855946","2020-03-04 10:21:44.44","2020-03-09 14:06:59.59"
64,"20200305","00:00",5766,88,21810,35,5643,118965,146541,124731,"4.6227481540","2020-03-05 10:15:12.12","2020-03-09 14:06:01.01"
65,"20200306","00:00",6284,108,21832,42,6134,136624,164740,142908,"4.3972345844","2020-03-06 12:55:44.44","2020-03-09 14:05:01.01"
66,"20200307","00:00",6767,118,19620,44,6605,151802,178189,158569,"4.2675428362","2020-03-07 11:00:45.45","2020-03-09 13:36:26.26"
67,"20200308","00:00",7134,130,19376,50,6954,162008,188518,169142,"4.2177578602","2020-03-08 11:16:27.27","2020-03-09 13:35:51.51"
68,"20200309","00:00",7382,166,17458,51,7165,171778,196618,179160,"4.1203393614","2020-03-09 10:47:15.15","2020-03-09 13:29:59.59"
69,"20200310","00:00",7513,247,18452,54,7212,184179,210144,191692,"3.9193080566","2020-03-10 10:20:27.27",
70,"20200311","00:00",7755,288,18540,60,7407,196100,222395,203855,"3.8041745358","2020-03-11 10:17:19.19",
71,"20200312","00:00",7869,333,17727,66,7470,209402,234998,217271,"3.6217442732","2020-03-12 10:37:03.03",
72,"20200313","00:00",7979,510,17940,67,7402,222728,248647,230707,"3.4584993086","2020-03-13 10:07:22.22",
73,"20200314","00:00",8086,714,17634,72,7300,235615,261335,243701,"3.3180003364","2020-03-14 10:29:11.11","2020-03-14 10:34:07.07"
74,"20200315","00:00",8162,834,16272,75,7253,243778,268212,251940,"3.2396602365","2020-03-15 10:01:22.22",
75,"20200316","00:00",8236,1137,14971,75,7024,251297,274504,259533,"3.1733922083","2020-03-16 10:12:33.33",
76,"20200317","00:00",8320,1401,17291,81,6838,261105,286716,269425,"3.0880579010","2020-03-17 10:29:38.38",
77,"20200318","00:00",8413,1540,16346,84,6789,270888,295647,279301,"3.0121625056","2020-03-18 10:26:15.15",
78,"20200319","00:00",8565,1947,15904,91,6527,282555,307024,291120,"2.9420857378","2020-03-19 10:07:57.57",
79,"20200320","00:00",8652,2233,15525,94,6325,292487,316664,301139,"2.8730918280","2020-03-20 10:15:59.59",
80,"20200321","00:00",8799,2612,15704,102,6085,303006,327509,311805,"2.8219560302","2020-03-21 10:02:58.58",
81,"20200322","00:00",8897,2909,14540,104,5884,308343,331780,317240,"2.8045013239","2020-03-22 10:07:28.28",
82,"20200323","00:00",8961,3166,13628,111,5684,315447,338036,324408,"2.7622623363","2020-03-23 10:27:32.32",
83,"20200324","00:00",9037,3507,15440,120,5410,324105,348582,333142,"2.7126570651","2020-03-24 10:09:30.30",
84,"20200324","00:00",9037,3507,15440,120,5410,324105,348582,333142,"2.7126570651","2020-03-24 10:20:57.57","2020-04-07 19:37:58.58"
85,"20200325","00:00",9137,3730,14278,126,5281,334481,357896,343618,"2.6590574416","2020-03-25 10:12:04.04",
86,"20200326","00:00",9241,4144,14369,131,4966,341332,364942,350573,"2.6359702544","2020-03-26 10:40:50.50",
87,"20200327","00:00",9332,4528,15219,139,4665,352410,376961,361742,"2.5797391511","2020-03-27 10:17:01.01",
88,"20200328","00:00",9478,4811,16564,144,4523,361883,387925,371361,"2.5522335409","2020-03-28 10:30:06.06",
89,"20200329","00:00",9583,5033,15028,152,4398,369530,394141,379113,"2.5277423881","2020-03-29 10:10:20.20",
90,"20200330","00:00",9661,5228,13531,158,4275,372002,395194,381663,"2.5312906936","2020-03-30 10:32:34.34",
91,"20200331","00:00",9786,5408,16892,162,4216,383886,410564,393672,"2.4858257635","2020-03-31 11:00:44.44","2020-03-31 11:43:15.15"
92,"20200401","00:00",9887,5567,16585,165,4155,395075,421547,404962,"2.4414636435","2020-04-01 10:13:22.22",
93,"20200402","00:00",9976,5828,17885,169,3979,403882,431743,413858,"2.4104886217","2020-04-02 10:09:03.03",
94,"20200402","00:00",9976,5828,17885,169,3979,403882,431743,413858,"2.4104886217","2020-04-02 10:13:00.00",
95,"20200403","00:00",10062,6021,18908,174,3867,414303,443273,424365,"2.3710720723","2020-04-03 10:19:21.21",
96,"20200404","00:00",10156,6325,20144,177,3654,424732,455032,434888,"2.3353139199","2020-04-04 10:32:51.51",
97,"20200405","00:00",10237,6463,19571,183,3591,431425,461233,441662,"2.3178358110","2020-04-05 10:11:59.59",
98,"20200406","00:00",10284,6598,19295,186,3500,437225,466804,447509,"2.2980543408","2020-04-06 10:27:44.44",
99,"20200407","00:00",10331,6694,20650,192,3445,446323,477304,456654,"2.2623255243","2020-04-07 10:12:25.25",
100,"20200408","00:00",10384,6776,17858,200,3408,457761,486003,468145,"2.2181161819","2020-04-08 10:15:42.42",
101,"20200409","00:00",10423,6973,15509,204,3246,468779,494711,479202,"2.1750743945","2020-04-09 10:22:27.27",
102,"20200410","00:00",10450,7117,15298,208,3125,477303,503051,487753,"2.1424778525","2020-04-10 10:15:54.54",
103,"20200411","00:00",10480,7243,14070,211,3026,485929,510479,496409,"2.1111623681","2020-04-11 10:24:11.11",
104,"20200412","00:00",10512,7368,13788,214,2930,490321,514621,500833,"2.0989032272","2020-04-12 10:20:49.49",
105,"20200413","00:00",10537,7447,13391,217,2873,494815,518743,505352,"2.0850812898","2020-04-13 10:14:53.53",
106,"20200414","00:00",10564,7534,14651,222,2808,502223,527438,512787,"2.0601146284","2020-04-14 10:23:15.15",
107,"20200415","00:00",10591,7616,15026,225,2750,508935,534552,519526,"2.0385890215","2020-04-15 11:34:34.34",
108,"20200416","00:00",10613,7757,14268,229,2627,513894,538775,524507,"2.0234239009","2020-04-16 10:55:17.17",
109,"20200417","00:00",10635,7829,14186,230,2576,521642,546463,532277,"1.9980198280","2020-04-17 10:32:02.02",
110,"20200418","00:00",10653,7937,13550,232,2484,530631,554834,541284,"1.9680980779","2020-04-18 10:44:12.12",
111,"20200419","00:00",10661,8042,12243,234,2385,536205,559109,546866,"1.9494720827","2020-04-19 10:27:30.30",
112,"20200420","00:00",10674,8114,11981,236,2324,540380,563035,551054,"1.9370152471","2020-04-20 10:26:59.59",
113,"20200421","00:00",10683,8213,12721,237,2233,547610,571014,558293,"1.9135113641","2020-04-21 10:11:58.58",
114,"20200422","00:00",10694,8277,12121,238,2179,555144,577959,565838,"1.8899402302","2020-04-22 10:20:28.28",
115,"20200423","00:00",10702,8411,10139,240,2051,563130,583971,573832,"1.8650057856","2020-04-23 10:11:05.05",
116,"20200424","00:00",10708,8501,9600,240,1967,569212,589520,579920,"1.8464615809","2020-04-24 10:11:08.08",
117,"20200425","00:00",12801,10718,9259,240,1843,575184,597244,587985,"2.1770963544","2020-04-25 10:39:03.03",
118,"20200425","00:00",10718,8635,9259,240,1843,575184,595161,585902,"1.8293161655","2020-04-25 10:57:05.05",
119,"20200425","00:00",10718,8635,9259,240,1843,575184,595161,585902,"1.8293161655","2020-04-25 10:58:08.08",
120,"20200426","00:00",10728,8717,8999,242,1769,578558,598285,589286,"1.8205082082","2020-04-26 10:12:24.24",
121,"20200427","00:00",10738,8764,8895,243,1731,582027,601660,592765,"1.8115104636","2020-04-27 10:12:27.27",
122,"20200428","00:00",10752,8854,9203,244,1654,588559,608514,599311,"1.7940601791","2020-04-28 10:22:15.984","null"
123,"20200429","00:00",10761,8922,8307,246,1593,595129,614197,605890,"1.7760649622","2020-04-29 10:26:00.327","null"
124,"20200430","00:00",10765,9059,8634,247,1459,600482,619881,611247,"1.7611538379","2020-04-30 10:12:41.865","null"
125,"20200501","00:00",10774,9072,8685,248,1454,603610,623069,614384,"1.7536263965","2020-05-01 10:24:37.982","null"
126,"20200502","00:00",10780,9123,8496,250,1407,608286,627562,619066,"1.7413329111","2020-05-02 10:22:19.467","null"
127,"20200503","00:00",10793,9183,8588,250,1360,611592,630973,622385,"1.7341356234","2020-05-03 10:54:37.387","null"
128,"20200504","00:00",10801,9217,8176,252,1332,614944,633921,625745,"1.7261024858","2020-05-04 10:11:32.113","null"
129,"20200505","00:00",10804,9283,8858,254,1267,620575,640237,631379,"1.7111750628","2020-05-05 10:20:41.144","null"
130,"20200506","00:00",10806,9333,8009,255,1218,624280,643095,635086,"1.7015018438","2020-05-06 10:16:11.219","null"
131,"20200507","00:00",10810,9419,8429,256,1135,630149,649388,640959,"1.6865353322","2020-05-07 10:43:55.587","null"
132,"20200508","00:00",10822,9484,8867,256,1082,635174,654863,645996,"1.6752425711","2020-05-08 10:18:50.37","null"
133,"20200509","00:00",10840,9568,9153,256,1016,640037,660030,650877,"1.6654452377","2020-05-09 10:17:14.743","null"
134,"20200510","00:00",10874,9610,10128,256,1008,642884,663886,653758,"1.6633066058","2020-05-10 10:14:56.134","null"
135,"20200511","00:00",10909,9632,10922,256,1021,646661,668492,657570,"1.6589868759","2020-05-11 10:25:58.1","null"
136,"20200512","00:00",10936,9670,16330,258,1008,653624,680890,664560,"1.6456000963","2020-05-12 10:12:13.807","null"
137,"20200513","00:00",10962,9695,19579,259,1008,665379,695920,676341,"1.6207800503","2020-05-13 10:41:14.635","null"
138,"20200514","00:00",10991,9762,20722,260,969,679771,711484,690762,"1.5911413772","2020-05-14 10:18:24.652","null"
139,"20200515","00:00",11018,9821,19875,260,937,695854,726747,706872,"1.5586980386","2020-05-15 10:33:33.767","null"
140,"20200516","00:00",11037,9851,18343,262,924,711265,740645,722302,"1.5280312113","2020-05-16 10:19:43.567","2020-05-16 10:40:31.389"
141,"20200517","00:00",11050,9888,17660,262,900,718943,747653,729993,"1.5137131451","2020-05-17 10:12:11.289","null"
142,"20200518","00:00",11065,9904,16093,263,898,726053,753211,737118,"1.5011165105","2020-05-18 10:18:09.187","null"
143,"20200519","00:00",11078,9938,16925,263,877,737571,765574,748649,"1.4797321575","2020-05-19 10:22:38.488","null"
144,"20200520","00:00",11110,10066,16351,263,781,748972,776433,760082,"1.4616843972","2020-05-20 10:13:17.176","null"
145,"20200521","00:00",11122,10135,18089,264,723,759473,788684,770595,"1.4433003069","2020-05-21 10:24:06.599","null"
146,"20200522","00:00",11142,10162,20286,264,716,770990,802418,782132,"1.4245677200","2020-05-22 10:15:38.071","null"
147,"20200523","00:00",11165,10194,21569,266,705,781686,814420,792851,"1.4082091086","2020-05-23 10:34:53.857","null"
148,"20200524","00:00",11190,10213,20333,266,711,788766,820289,799956,"1.3988269354","2020-05-24 10:29:09.658","null"
149,"20200525","00:00",11206,10226,19089,267,713,796142,826437,807348,"1.3880012088","2020-05-25 10:27:08.014","null"
150,"20200526","00:00",11225,10275,22044,269,681,806206,839475,817431,"1.3732045885","2020-05-26 10:12:48.677","null"
151,"20200527","00:00",11265,10295,21061,269,701,820550,852876,831815,"1.3542674753","2020-05-27 10:16:33.139","null"
152,"20200528","00:00",11344,10340,22370,269,735,834952,868666,846296,"1.3404293533","2020-05-28 10:11:27.895","null"
153,"20200529","00:00",11402,10363,24557,269,770,849161,885120,860563,"1.3249465756","2020-05-29 10:10:53.131","null"
154,"20200530","00:00",11441,10398,26298,269,774,865162,902901,876603,"1.3051518190","2020-05-30 10:12:26.752","null"
155,"20200531","00:00",11468,10405,23294,270,793,876060,910822,887528,"1.2921282483","2020-05-31 10:22:37.861","null"
156,"20200601","00:00",11503,10422,24058,271,810,885830,921391,897333,"1.2819098372","2020-06-01 10:13:09.747","null"
157,"20200602","00:00",11541,10446,28922,272,823,899388,939851,910929,"1.2669483571","2020-06-02 10:15:46.159","null"
158,"20200603","00:00",11590,10467,27865,273,850,917397,956852,928987,"1.2475954991","2020-06-03 10:25:46.26","null"
159,"20200604","00:00",11629,10499,28199,273,857,934030,973858,945659,"1.2297244567","2020-06-04 10:27:45.93","null"
160,"20200605","00:00",11668,10506,28766,273,889,950526,990960,962194,"1.2126452669","2020-06-05 10:56:50.891","null"
161,"20200606","00:00",11719,10531,27954,273,915,965632,1005305,977351,"1.1990574522","2020-06-06 10:49:23.14","null"
162,"20200607","00:00",11776,10552,26481,273,951,974512,1012769,986288,"1.1939717405","2020-06-07 10:20:08.998","null"
163,"20200608","00:00",11814,10563,24374,273,978,982026,1018214,993840,"1.1887225307","2020-06-08 10:14:00.756","null"
164,"20200609","00:00",11852,10589,27459,274,989,996686,1035997,1008538,"1.1751664290","2020-06-09 10:08:46.492","null"
165,"20200610","00:00",11902,10611,26223,276,1015,1013847,1051972,1025749,"1.1603228470","2020-06-10 10:13:47.554","null"
166,"20200611","00:00",11947,10654,25494,276,1017,1029447,1066888,1041394,"1.1472122942","2020-06-11 10:30:28.32","null"
167,"20200612","00:00",12003,10669,24244,277,1057,1045240,1081487,1057243,"1.1353113711","2020-06-12 10:22:23.274","null"
168,"20200613","00:00",12051,10691,23352,277,1083,1059301,1094704,1071352,"1.1248403885","2020-06-13 10:11:42.777","null"
169,"20200614","00:00",12085,10718,21356,277,1090,1066887,1100328,1078972,"1.1200476008","2020-06-14 10:19:17.655","null"
170,"20200615","00:00",12121,10730,20793,277,1114,1072805,1105719,1084926,"1.1172190545","2020-06-15 10:16:22.312","null"
171,"20200616","00:00",12155,10760,22632,278,1117,1084980,1119767,1097135,"1.1078855382","2020-06-16 10:16:46.75","null"
172,"20200617","00:00",12198,10774,21489,279,1145,1099136,1132823,1111334,"1.0975998214","2020-06-17 10:14:34.423","null"
173,"20200618","00:00",12257,10800,21714,280,1177,1111741,1145712,1123998,"1.0904823674","2020-06-18 10:12:45.408","null"
